Ticker,CUSIP,Company,% of Fund,Shares Held
,,Cash,1.21%,"672,870"
2670,JP3152740001,ABC-MART INC,2.18%,"75,200"
ABN,NL0011540547,ABN AMRO BANK NV-CVA,1.50%,"26,508"
ADEN,CH0012138605,ADECCO GROUP AG-REG,2.11%,"44,086"
AGS,BE0974264930,AGEAS,0.98%,"7,896"
AIBG,IE00BF0L3536,AIB GROUP PLC,2.33%,"127,840"
ABF,GB0006731235,ASSOCIATED BRITISH FOODS PLC,1.99%,"44,368"
AMV0,DE000AUM0V10,AUMOVIO SE,1.39%,"17,766"
SAN,ES0113900J37,BANCO SANTANDER SA,1.40%,"70,218"
BIRG,IE00BD1RP616,BANK OF IRELAND GROUP PLC,1.42%,"44,932"
BARC,GB0031348658,BARCLAYS PLC,1.84%,"189,222"
BAS,DE000BASF111,BASF SE,1.54%,"16,356"
BNP,FR0000131104,BNP PARIBAS,1.89%,"10,528"
BNR,DE000A1DAHH0,BRENNTAG SE,2.20%,"23,406"
BTI,US1104481072,BRITISH AMERICAN TOB-SP ADR,2.72%,"26,132"
BLND,GB0001367019,BRITISH LAND CO PLC,1.46%,"159,894"
BT/A,GB0030913577,BT GROUP PLC,1.03%,"207,928"
BRBY,GB0031743007,BURBERRY GROUP PLC,1.44%,"54,520"
CON,DE0005439004,CONTINENTAL AG,1.32%,"9,964"
1878,JP3486800000,DAITO TRUST CONSTRUCT CO LTD,1.56%,"37,600"
DSY,FR0014003TT8,DASSAULT SYSTEMES SE,1.68%,"42,958"
DCC,IE0002424939,DCC PLC,1.92%,"16,826"
4324,JP3551520004,DENTSU GROUP INC,1.87%,"56,400"
EDEN,FR0010908533,EDENRED,2.32%,"59,314"
EVK,DE000EVNK013,EVONIK INDUSTRIES AG,1.42%,"49,632"
FDJU,FR0013451333,FDJ UNITED,2.12%,"39,856"
FME,DE0005785802,FRESENIUS MEDICAL CARE AG,2.41%,"29,328"
GFC,FR0010040865,GECINA SA,1.49%,"9,776"
HEN3,DE0006048432,Henkel AG & Co KGaA,2.31%,"14,852"
ICLR,IE0005711209,ICON PLC,3.26%,"16,920"
IMB,GB0004544929,IMPERIAL BRANDS PLC,1.79%,"23,500"
7182,JP3946750001,JAPAN POST BANK CO LTD,1.82%,"56,400"
AD,NL0011794037,KONINKLIJKE AHOLD DELHAIZE N,2.06%,"24,158"
LAND,GB00BYW0PQ60,LAND SECURITIES GROUP PLC,1.71%,"116,748"
MICC,NL0015002MS2,MAGNUM ICE CREAM CO NV/THE,3.22%,"117,500"
8725,JP3890310000,MS&AD INSURANCE GROUP HOLDIN,1.33%,"28,200"
NICE,US6536561086,NICE LTD - SPON ADR,2.35%,"10,246"
PBR/A,US71654V1017,PETROLEO BRASIL-SP PREF  ADR,1.67%,"57,528"
PRU,GB0007099541,PRUDENTIAL PLC,2.00%,"78,678"
RBI,AT0000606306,RAIFFEISEN BANK INTERNATIONA,1.88%,"24,158"
RAND,NL0000379121,RANDSTAD NV,2.09%,"37,412"
RNO,FR0000131906,RENAULT SA,1.36%,"22,936"
REP,ES0173516115,REPSOL SA,1.73%,"40,044"
RICHT,HU0000123096,RICHTER GEDEON NYRT,1.94%,"31,866"
SNY,US80105N1054,SANOFI-ADR,2.98%,"37,224"
SW,FR0000121220,SODEXO SA,1.97%,"21,056"
8630,JP3165000005,SOMPO HOLDINGS INC,1.29%,"18,800"
8309,JP3892100003,SUMITOMO MITSUI TRUST GROUP,2.23%,"37,600"
9989,JP3336600006,SUNDRUG CO LTD,2.14%,"47,000"
UHR,CH0012255151,SWATCH GROUP AG/THE-BR,1.33%,"3,384"
TX,US8808901081,TERNIUM SA-SPONSORED ADR,1.44%,"20,492"
VOD,GB00BH4HKS39,VODAFONE GROUP PLC,1.95%,"748,804"
WPP,JE00B8KF9B49,WPP PLC,1.93%,"304,560"
7272,JP3942800008,YAMAHA MOTOR CO LTD,1.48%,"112,800"
